StorageUnit,name,carrier,bus,p_nom,capital_cost,max_hours,efficiency_store,efficiency_dispatch,cyclic_state_of_charge,p_min_pu,build_year,control,type,p_nom_extendable,p_nom_min,p_nom_max,p_max_pu,p_set,q_set,sign,marginal_cost,lifetime,state_of_charge_initial,state_of_charge_initial_per_period,state_of_charge_set,cyclic_state_of_charge_per_period,standing_loss,inflow,p_nom_opt,country,bidding_zone,p_set_before_scaling
367 hydro,Smadola,hydro,6874,15.1,177831.093925293,6.0,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,9.4828380449191,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_3,15.1
368 hydro,Smavatna 2,hydro,7019,18.8,177831.093925293,1577.87234042553,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,7.65703011765455,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_4,18.8
369 hydro,Smeland 3,hydro,6708,24.0075,177831.093925293,13.4166666666667,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,14.9712076288673,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_2,24.0075
370 hydro,Soa 2,hydro,6865,37.0,177831.093925293,1131.75675675676,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,23.2360932226495,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_3,37.0
371 hydro,Sorfjord 3,hydro,6996,79.0,177831.093925293,1634.96,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,32.1758180475909,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_4,79.0
372 hydro,Stakaldefoss 4,hydro,6647,10.0,177831.093925293,445.0,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,6.28002519531066,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_3,10.0
374 hydro,Storaselva 2,hydro,6941,25.5,177831.093925293,6.0,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,10.3858653191591,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_4,25.5
375 hydro,Stordal 2,hydro,6651,26.75,177831.093925293,810.276923076923,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,9.48861691792017,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_5,26.75
376 hydro,Storlivatn 3,hydro,6683,48.0,177831.093925293,1179.425,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,29.933061176117,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_2,48.0
377 hydro,Strandfossen 2,hydro,6721,27.06,177831.093925293,6.0,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,18.4752587794943,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_1,27.06
378 hydro,Stuvane,hydro,6665,38.0,177831.093925293,6.0,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,13.4791567432137,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_5,38.0
379 hydro,Svandalsflona,hydro,6686,20.0,177831.093925293,705.6,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,12.4721088233821,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_2,20.0
